dataset,num_hashes,hash_family,num_bands,rows_per_band,group,mean_similarity,num_pairs,num_hash_seeds,empirical_probability,empirical_standard_deviation,theoretical_probability,absolute_gap
20_newsgroups,200,murmur,20,10,0.050000,0.050323,30,5,0.000000,0.000000,0.000000,0.000000
20_newsgroups,200,murmur,20,10,0.100000,0.100609,30,5,0.000000,0.000000,0.000000,0.000000
20_newsgroups,200,murmur,20,10,0.150000,0.150165,30,5,0.000000,0.000000,0.000000,0.000000
20_newsgroups,200,murmur,20,10,0.200000,0.199800,30,5,0.000000,0.000000,0.000002,0.000002
20_newsgroups,200,murmur,20,10,0.250000,0.249644,30,5,0.000000,0.000000,0.000019,0.000019
20_newsgroups,200,murmur,20,10,0.300000,0.300256,30,5,0.000000,0.000000,0.000119,0.000119
20_newsgroups,200,murmur,20,10,0.350000,0.350164,30,5,0.000000,0.000000,0.000557,0.000557
20_newsgroups,200,murmur,20,10,0.400000,0.399467,30,5,0.000000,0.000000,0.002072,0.002072
20_newsgroups,200,murmur,20,10,0.450000,0.450260,30,5,0.026667,0.027889,0.006860,0.019807
20_newsgroups,200,murmur,20,10,0.500000,0.500333,30,5,0.020000,0.029814,0.019630,0.000370
20_newsgroups,200,murmur,20,10,0.550000,0.548966,30,5,0.040000,0.036515,0.048730,0.008730
20_newsgroups,200,murmur,20,10,0.600000,0.599432,30,5,0.086667,0.064979,0.113537,0.026870
20_newsgroups,200,murmur,20,10,0.650000,0.649416,30,5,0.206667,0.089443,0.236282,0.029615
20_newsgroups,200,murmur,20,10,0.700000,0.699463,30,5,0.486667,0.069121,0.434382,0.052285
20_newsgroups,200,murmur,20,10,0.750000,0.750121,30,5,0.713333,0.076739,0.686380,0.026954
20_newsgroups,200,murmur,20,10,0.800000,0.802466,30,5,0.900000,0.062361,0.902739,0.002739
20_newsgroups,200,murmur,20,10,0.850000,0.849822,30,5,1.000000,0.000000,0.986260,0.013740
20_newsgroups,200,murmur,20,10,0.900000,0.900708,30,5,1.000000,0.000000,0.999614,0.000386
20_newsgroups,200,murmur,20,10,0.950000,0.947777,30,5,1.000000,0.000000,0.999999,0.000001
20_newsgroups,200,murmur,40,5,0.050000,0.050323,30,5,0.000000,0.000000,0.000013,0.000013
20_newsgroups,200,murmur,40,5,0.100000,0.100609,30,5,0.000000,0.000000,0.000415,0.000415
20_newsgroups,200,murmur,40,5,0.150000,0.150165,30,5,0.013333,0.018257,0.003061,0.010272
20_newsgroups,200,murmur,40,5,0.200000,0.199800,30,5,0.013333,0.018257,0.012680,0.000653
20_newsgroups,200,murmur,40,5,0.250000,0.249644,30,5,0.060000,0.027889,0.038147,0.021853
20_newsgroups,200,murmur,40,5,0.300000,0.300256,30,5,0.073333,0.027889,0.093169,0.019836
20_newsgroups,200,murmur,40,5,0.350000,0.350164,30,5,0.146667,0.029814,0.190457,0.043791
20_newsgroups,200,murmur,40,5,0.400000,0.399467,30,5,0.406667,0.125610,0.335736,0.070931
20_newsgroups,200,murmur,40,5,0.450000,0.450260,30,5,0.540000,0.109036,0.526321,0.013679
20_newsgroups,200,murmur,40,5,0.500000,0.500333,30,5,0.726667,0.127802,0.719990,0.006676
20_newsgroups,200,murmur,40,5,0.550000,0.548966,30,5,0.846667,0.055777,0.870360,0.023693
20_newsgroups,200,murmur,40,5,0.600000,0.599432,30,5,0.960000,0.043461,0.959805,0.000195
20_newsgroups,200,murmur,40,5,0.650000,0.649416,30,5,0.993333,0.014907,0.992398,0.000935
20_newsgroups,200,murmur,40,5,0.700000,0.699463,30,5,1.000000,0.000000,0.999285,0.000715
20_newsgroups,200,murmur,40,5,0.750000,0.750121,30,5,1.000000,0.000000,0.999976,0.000024
20_newsgroups,200,murmur,40,5,0.800000,0.802466,30,5,1.000000,0.000000,1.000000,0.000000
20_newsgroups,200,murmur,40,5,0.850000,0.849822,30,5,1.000000,0.000000,1.000000,0.000000
20_newsgroups,200,murmur,40,5,0.900000,0.900708,30,5,1.000000,0.000000,1.000000,0.000000
20_newsgroups,200,murmur,40,5,0.950000,0.947777,30,5,1.000000,0.000000,1.000000,0.000000
20_newsgroups,200,murmur,50,4,0.050000,0.050323,30,5,0.000000,0.000000,0.000327,0.000327
20_newsgroups,200,murmur,50,4,0.100000,0.100609,30,5,0.013333,0.018257,0.005130,0.008203
20_newsgroups,200,murmur,50,4,0.150000,0.150165,30,5,0.046667,0.018257,0.025165,0.021502
20_newsgroups,200,murmur,50,4,0.200000,0.199800,30,5,0.066667,0.040825,0.076720,0.010053
20_newsgroups,200,murmur,50,4,0.250000,0.249644,30,5,0.180000,0.038006,0.176992,0.003008
20_newsgroups,200,murmur,50,4,0.300000,0.300256,30,5,0.280000,0.090062,0.335109,0.055109
20_newsgroups,200,murmur,50,4,0.350000,0.350164,30,5,0.533333,0.081650,0.531129,0.002204
20_newsgroups,200,murmur,50,4,0.400000,0.399467,30,5,0.740000,0.027889,0.724560,0.015440
20_newsgroups,200,murmur,50,4,0.450000,0.450260,30,5,0.893333,0.064118,0.877068,0.016265
20_newsgroups,200,murmur,50,4,0.500000,0.500333,30,5,0.946667,0.018257,0.960224,0.013557
20_newsgroups,200,murmur,50,4,0.550000,0.548966,30,5,0.960000,0.027889,0.991324,0.031324
20_newsgroups,200,murmur,50,4,0.600000,0.599432,30,5,0.993333,0.014907,0.998973,0.005640
20_newsgroups,200,murmur,50,4,0.650000,0.649416,30,5,1.000000,0.000000,0.999939,0.000061
20_newsgroups,200,murmur,50,4,0.700000,0.699463,30,5,1.000000,0.000000,0.999999,0.000001
20_newsgroups,200,murmur,50,4,0.750000,0.750121,30,5,1.000000,0.000000,1.000000,0.000000
20_newsgroups,200,murmur,50,4,0.800000,0.802466,30,5,1.000000,0.000000,1.000000,0.000000
20_newsgroups,200,murmur,50,4,0.850000,0.849822,30,5,1.000000,0.000000,1.000000,0.000000
20_newsgroups,200,murmur,50,4,0.900000,0.900708,30,5,1.000000,0.000000,1.000000,0.000000
20_newsgroups,200,murmur,50,4,0.950000,0.947777,30,5,1.000000,0.000000,1.000000,0.000000
20_newsgroups,200,murmur,100,2,0.050000,0.050323,30,5,0.206667,0.076012,0.224305,0.017639
20_newsgroups,200,murmur,100,2,0.100000,0.100609,30,5,0.626667,0.095452,0.638211,0.011544
20_newsgroups,200,murmur,100,2,0.150000,0.150165,30,5,0.913333,0.038006,0.897464,0.015870
20_newsgroups,200,murmur,100,2,0.200000,0.199800,30,5,0.966667,0.040825,0.982896,0.016230
20_newsgroups,200,murmur,100,2,0.250000,0.249644,30,5,1.000000,0.000000,0.998365,0.001635
20_newsgroups,200,murmur,100,2,0.300000,0.300256,30,5,1.000000,0.000000,0.999920,0.000080
20_newsgroups,200,murmur,100,2,0.350000,0.350164,30,5,1.000000,0.000000,0.999998,0.000002
20_newsgroups,200,murmur,100,2,0.400000,0.399467,30,5,1.000000,0.000000,1.000000,0.000000
20_newsgroups,200,murmur,100,2,0.450000,0.450260,30,5,1.000000,0.000000,1.000000,0.000000
20_newsgroups,200,murmur,100,2,0.500000,0.500333,30,5,1.000000,0.000000,1.000000,0.000000
20_newsgroups,200,murmur,100,2,0.550000,0.548966,30,5,1.000000,0.000000,1.000000,0.000000
20_newsgroups,200,murmur,100,2,0.600000,0.599432,30,5,1.000000,0.000000,1.000000,0.000000
20_newsgroups,200,murmur,100,2,0.650000,0.649416,30,5,1.000000,0.000000,1.000000,0.000000
20_newsgroups,200,murmur,100,2,0.700000,0.699463,30,5,1.000000,0.000000,1.000000,0.000000
20_newsgroups,200,murmur,100,2,0.750000,0.750121,30,5,1.000000,0.000000,1.000000,0.000000
20_newsgroups,200,murmur,100,2,0.800000,0.802466,30,5,1.000000,0.000000,1.000000,0.000000
20_newsgroups,200,murmur,100,2,0.850000,0.849822,30,5,1.000000,0.000000,1.000000,0.000000
20_newsgroups,200,murmur,100,2,0.900000,0.900708,30,5,1.000000,0.000000,1.000000,0.000000
20_newsgroups,200,murmur,100,2,0.950000,0.947777,30,5,1.000000,0.000000,1.000000,0.000000
